Time,Actual,Predicted
2012-05-12 14:00,615,645.9383
2011-12-30 23:00,73,42.173267
2011-10-02 12:00,321,314.43
2011-01-08 08:00,15,21.513794
2012-02-09 07:00,267,246.17921
2011-01-29 18:00,68,75.18054
2012-05-24 16:00,390,401.71002
2011-05-03 23:00,62,60.906406
2011-06-22 14:00,145,148.03076
2011-02-02 22:00,40,45.800488
2012-05-25 01:00,42,36.918625
2012-09-11 04:00,9,15.483266
2012-04-10 01:00,9,8.806663
2011-12-06 10:00,50,34.39714
2011-04-16 09:00,29,37.002476
2011-07-02 14:00,392,407.92847
2011-09-25 21:00,137,145.82619
2012-05-31 07:00,507,482.7791
2012-05-09 22:00,67,77.42093
2011-11-25 18:00,153,205.11041
2011-09-16 23:00,126,133.06079
2012-09-06 00:00,65,57.57442
2011-06-25 18:00,307,373.00598
2012-09-13 03:00,11,11.278354
2012-03-27 07:00,286,315.1701
2012-08-02 17:00,865,825.25006
2012-01-26 16:00,224,211.45584
2012-03-02 19:00,174,152.48935
2012-06-15 01:00,51,39.220142
2011-06-03 06:00,106,109.441185
2011-04-26 11:00,172,144.09457
2011-04-23 15:00,397,396.7238
2012-11-13 18:00,559,552.48956
2011-04-04 11:00,124,126.92719
2012-02-01 03:00,3,0.8432116
2012-09-06 04:00,8,12.584398
2012-12-30 23:00,49,29.20349
2011-01-03 14:00,77,60.28178
2011-06-30 03:00,9,9.8537855
2012-04-01 18:00,432,440.43192
2012-01-11 20:00,57,92.40649
2011-10-17 16:00,302,299.6739
2011-09-13 11:00,153,157.0005
2012-10-07 23:00,80,49.469883
2011-04-17 17:00,306,307.0489
2011-11-16 05:00,13,18.070269
2011-08-08 12:00,182,174.07321
2011-12-10 01:00,66,56.52492
2012-06-06 06:00,172,179.79056
2012-05-25 13:00,333,338.76
2012-01-13 21:00,102,113.24713
2012-05-14 23:00,75,65.54642
2011-03-10 05:00,3,-0.61374223
2012-05-29 16:00,393,388.36597
2012-06-27 16:00,392,413.31598
2012-04-15 12:00,635,611.546
2012-06-13 22:00,238,231.51782
2012-09-25 15:00,303,333.87436
2012-08-04 01:00,122,109.627396
2012-12-10 07:00,294,311.40762
2012-09-14 13:00,408,383.6325
2012-03-17 03:00,26,23.83838
2011-04-27 14:00,148,145.16621
2011-05-21 23:00,145,153.60475
2012-02-17 05:00,16,17.166115
2012-10-15 15:00,260,257.64014
2011-05-22 00:00,131,109.92817
2011-03-28 13:00,83,80.23115
2011-04-05 21:00,89,78.44538
2011-06-03 01:00,22,37.72044
2011-07-28 17:00,468,503.85986
2012-05-28 15:00,460,441.1596
2011-06-07 08:00,477,444.97342
2011-12-13 00:00,17,20.678509
2011-05-01 11:00,250,233.45692
2011-04-25 20:00,237,245.00974
2012-05-02 21:00,239,263.1413
2012-11-30 10:00,169,182.06137
2011-07-09 13:00,416,390.73056
2011-07-13 08:00,449,432.2003
2011-12-12 10:00,105,103.6089
2011-09-26 13:00,187,182.14345
2011-04-02 08:00,55,40.199688
2012-01-15 21:00,72,54.78656
2011-06-12 06:00,14,18.796568
2011-02-23 10:00,51,53.595642
2011-12-22 01:00,15,12.077768
2011-05-24 03:00,2,1.6903244
2012-12-24 17:00,26,44.533375
2012-06-04 10:00,187,198.34135
2012-05-19 20:00,315,320.1579
2011-09-04 06:00,3,16.604477
2012-10-24 15:00,308,344.91965
2011-02-09 08:00,199,214.89453
2012-01-14 17:00,144,160.30202
2012-03-13 03:00,2,-5.8955245
2012-01-04 23:00,32,39.223076
2011-02-27 14:00,282,255.912
2012-05-09 19:00,98,168.0933
2012-08-05 15:00,450,455.77512
2012-03-22 07:00,361,372.9472
2012-10-24 16:00,532,524.22845
2011-05-08 00:00,100,98.85395
2011-06-01 20:00,256,235.50227
2011-03-30 02:00,4,-0.08089846
2011-04-27 11:00,156,108.64963
2012-11-11 21:00,171,132.82434
2012-09-24 09:00,328,337.39087
2012-05-07 16:00,388,386.83026
2011-06-23 15:00,189,185.77094
2011-07-31 07:00,45,41.276127
2011-06-21 22:00,109,145.48285
2011-05-07 02:00,52,43.485233
2011-02-18 01:00,8,9.928271
2011-09-11 12:00,411,427.0179
2012-09-21 08:00,757,745.6678
2011-06-22 23:00,105,97.1469
2012-02-04 00:00,86,65.82857
2012-12-15 11:00,393,379.9946
2011-12-22 05:00,16,20.507345
2012-12-16 04:00,11,12.920529
2012-02-01 01:00,4,6.124061
2011-07-28 20:00,270,277.59296
2011-12-20 12:00,175,189.9897
2012-02-07 03:00,2,2.7154667
2011-01-19 17:00,197,202.20976
2011-01-21 21:00,41,41.872746
2012-09-18 15:00,36,87.69831
2012-12-03 01:00,13,16.650845
2012-02-20 08:00,120,121.925285
2011-05-12 23:00,103,97.79427
2012-02-15 00:00,22,29.44812
2011-03-16 09:00,154,133.98001
2011-12-07 06:00,18,30.698483
2011-07-03 06:00,3,15.617694
2011-03-06 14:00,39,46.63714
2011-04-09 11:00,142,162.09546
2012-03-16 06:00,99,89.16076
2012-12-27 13:00,118,124.781715
2011-10-28 03:00,8,6.6684566
2012-06-27 23:00,159,167.35966
2011-06-02 05:00,31,29.922836
2012-04-17 03:00,6,5.7457275
2012-12-14 04:00,10,9.648771
2011-08-15 09:00,222,184.75961
2012-02-03 11:00,164,150.3035
2012-07-11 04:00,7,10.576463
2012-02-27 00:00,29,21.08943
2012-01-30 13:00,132,149.50375
2012-07-18 20:00,366,448.1778
2011-01-22 07:00,8,-11.555286
2011-12-07 00:00,33,25.925945
2011-11-07 06:00,99,90.43343
2012-02-22 06:00,90,92.69828
2011-09-18 03:00,36,34.5918
2012-11-01 02:00,20,11.858533
2012-12-22 20:00,61,57.453392
2012-02-23 09:00,242,272.45932
2011-07-13 22:00,184,165.90347
2011-05-27 08:00,418,448.95096
2011-05-25 07:00,313,322.01898
2012-07-12 15:00,271,292.29343
2011-07-06 05:00,35,26.728554
2012-10-09 07:00,362,415.6049
2012-12-22 21:00,53,47.4194
2011-02-27 11:00,125,142.77032
2012-02-02 16:00,229,240.4573
2011-12-13 22:00,107,98.15841
2011-03-23 09:00,182,139.77032
2011-02-15 12:00,71,72.19934
2012-07-09 23:00,131,133.37622
2012-04-22 12:00,61,80.46614
2012-11-17 19:00,253,270.3052
2011-06-08 05:00,21,25.990639
2012-02-20 02:00,20,21.3702
2012-07-19 13:00,254,249.23492
2012-11-07 05:00,27,41.098648
2011-04-14 02:00,3,6.2881846
2012-10-17 06:00,178,163.62581
2011-11-25 10:00,142,127.419174
2011-01-13 13:00,83,57.971535
2012-11-19 16:00,380,388.9847
2011-06-02 17:00,572,554.3661
2011-11-02 11:00,144,153.29411
2011-07-05 07:00,270,313.9601
2011-05-05 18:00,520,509.2804
2012-03-19 19:00,549,516.996
2011-12-28 21:00,70,66.19277
2012-07-27 00:00,97,84.64904
2012-06-05 11:00,227,221.75249
2011-10-11 06:00,123,114.923805
2011-08-13 11:00,314,320.92566
2012-03-20 23:00,90,94.08671
2012-06-17 03:00,28,39.423145
2012-12-04 10:00,156,191.35297
2012-12-11 22:00,106,135.9289
2011-05-03 14:00,158,165.67871
2012-08-20 14:00,275,277.52136
2011-05-19 04:00,5,6.7470155
2011-02-16 18:00,222,228.92839
2011-06-03 14:00,240,241.23814
2012-11-23 03:00,1,3.4309251
2012-11-05 05:00,39,37.580944
2011-12-16 03:00,5,4.5148225
2011-10-06 22:00,148,140.04268
2012-12-20 21:00,26,65.502075
2011-04-05 12:00,38,66.67885
2011-06-05 21:00,165,192.31847
2012-05-14 02:00,2,2.8497207
2012-10-16 16:00,446,489.7025
2012-01-01 06:00,2,4.519866
2012-10-28 06:00,39,32.19763
2012-09-18 12:00,88,111.17868
2011-10-14 11:00,87,97.75217
2012-04-06 15:00,537,385.56564
2011-07-20 12:00,149,157.03073
2011-08-23 04:00,5,6.8108335
2011-02-14 10:00,55,81.23113
2012-01-04 13:00,91,95.71965
2011-07-28 15:00,146,141.76334
2011-04-09 08:00,54,46.580074
2012-03-22 23:00,151,154.14024
2011-08-17 13:00,176,185.70383
2011-04-05 04:00,2,4.777613
2011-08-21 19:00,282,304.11768
2012-12-23 08:00,48,-18.19611
2011-05-02 20:00,218,248.60997
2011-03-07 19:00,145,139.00998
2012-06-17 00:00,148,146.78241
2012-10-02 11:00,99,96.315025
2012-04-21 05:00,1,9.584106
2011-04-21 13:00,177,167.72438
2011-04-15 03:00,3,5.104046
2011-06-02 23:00,112,121.37028
2011-04-04 06:00,46,55.824574
2012-07-31 01:00,21,19.573635
2012-11-10 02:00,44,34.254955
2011-11-19 11:00,233,251.49045
2011-02-19 04:00,3,3.7305815
2012-11-06 21:00,151,176.82378
2012-09-22 07:00,77,90.351425
2012-09-30 13:00,594,640.1949
2012-01-30 00:00,10,14.938683
2011-02-13 12:00,152,147.58922
2011-10-10 03:00,11,15.334581
2012-10-10 00:00,33,40.474327
2011-08-06 11:00,349,326.7768
2012-05-25 08:00,583,622.3328
2012-07-19 23:00,65,96.454994
2012-05-21 19:00,448,476.6159
2012-06-26 03:00,9,10.054656
2012-05-06 12:00,558,552.36414
2011-04-04 01:00,11,6.2866945
2012-07-02 16:00,365,399.1492
2012-08-07 09:00,327,344.58124
2012-09-30 09:00,285,258.88324
2011-04-26 18:00,528,477.10574
2012-04-11 16:00,307,363.43842
2011-07-27 00:00,45,44.92101
2011-12-20 17:00,431,443.5333
2012-03-26 07:00,370,401.2632
2012-11-05 07:00,461,392.12064
2011-11-09 11:00,152,154.78117
2011-06-18 08:00,131,107.84393
2012-07-21 15:00,380,376.14136
2012-09-30 11:00,591,592.66077
2011-07-31 21:00,164,179.25063
2011-11-06 12:00,346,336.03455
2011-11-01 15:00,186,189.52165
2011-07-20 09:00,209,211.24937
2011-12-13 23:00,59,58.05432
2012-05-22 15:00,245,265.20105
2012-06-10 19:00,375,397.0812
2011-11-19 10:00,200,209.91006
2011-01-06 23:00,23,26.122616
2011-09-09 21:00,203,176.78117
2012-04-07 10:00,363,352.45322
2012-02-10 10:00,124,122.82049
2012-10-02 03:00,5,6.6645823
2012-03-23 10:00,275,228.7125
2011-12-05 00:00,24,22.886707
2012-03-14 18:00,749,747.9298
2011-07-05 05:00,20,24.479624
2011-05-29 16:00,361,373.61688
2011-06-26 17:00,421,405.57883
2012-05-02 08:00,666,627.6169
2012-11-15 14:00,201,224.47328
2012-03-01 05:00,18,25.1378
2011-11-23 15:00,207,165.9963
2012-07-05 02:00,18,13.772622
2012-12-25 23:00,30,8.163865
2012-10-07 07:00,35,53.293343
2011-10-24 14:00,206,162.84154
2012-11-15 19:00,386,377.02017
2011-10-12 23:00,54,36.29106
2011-09-15 11:00,159,154.99966
2011-08-28 22:00,98,110.45918
2012-12-08 17:00,345,360.24728
2011-09-28 17:00,591,595.5675
2012-10-02 20:00,306,313.31665
2011-11-30 15:00,115,148.24463
2011-03-01 10:00,68,54.585842
2011-05-15 06:00,17,15.483269
2012-05-20 03:00,66,40.349342
2011-10-21 05:00,31,17.570946
2011-08-10 06:00,119,115.94965
2012-12-09 18:00,198,174.93279
2012-03-22 03:00,7,10.500713
2012-08-02 19:00,607,601.57825
2012-10-12 12:00,387,392.29688
2011-05-27 11:00,166,184.01054
2011-08-24 21:00,236,230.5158
2012-04-29 22:00,108,110.59749
2012-01-10 19:00,281,298.52628
2012-09-17 23:00,70,59.89678
2012-03-06 05:00,25,21.408833
2012-01-21 01:00,23,25.309483
2012-11-06 11:00,216,184.0262
2012-06-17 05:00,17,15.260562
2011-06-19 22:00,152,141.87634
2011-09-16 22:00,167,138.82948
2011-07-09 19:00,306,322.66965
2012-06-19 18:00,795,756.67944
2012-12-06 19:00,373,362.65277
2012-03-18 11:00,368,355.82358
2011-04-10 15:00,297,304.00134
2012-02-28 17:00,530,509.78656
2012-04-24 05:00,22,21.579473
2011-02-12 15:00,174,158.90292
2012-03-14 01:00,27,17.612236
2011-04-10 17:00,236,259.44165
2011-08-05 08:00,454,443.6043
2011-12-19 18:00,354,382.35767
2012-07-30 14:00,254,253.32251
2011-06-16 13:00,151,192.63046
2011-08-20 11:00,338,362.10596
2011-09-08 14:00,120,116.540436
2011-05-12 20:00,276,286.05212
2011-08-19 08:00,398,415.38663
2011-04-11 01:00,4,9.920138
2011-02-13 01:00,24,25.196245
2012-03-09 10:00,159,161.32527
2011-10-16 03:00,42,35.9484
2011-05-18 10:00,106,97.1854
2012-05-22 21:00,261,271.33698
2012-07-21 18:00,177,230.9053
2011-09-30 18:00,511,494.97183
2012-03-25 10:00,250,228.07596
2011-01-16 13:00,118,116.50998
2011-07-24 05:00,8,11.67633
2011-09-30 16:00,360,360.94385
2012-12-11 17:00,601,576.21765
2011-02-03 01:00,5,8.741489
2012-08-03 05:00,37,34.86944
2011-11-30 04:00,5,2.4575393
2011-07-09 22:00,214,193.76378
2011-06-29 00:00,36,41.456295
2011-01-20 19:00,152,125.013824
2012-01-04 06:00,59,65.91867
2011-07-01 06:00,108,105.389824
2012-05-17 12:00,348,304.88315
2011-12-13 09:00,233,218.40402
2012-11-30 15:00,296,285.13654
2011-03-13 13:00,221,253.36063
2012-07-23 09:00,345,317.80792
2011-05-30 19:00,225,227.7876
2012-01-31 01:00,8,9.136862
2011-02-03 10:00,52,45.099792
2012-01-09 10:00,108,103.877525
2011-11-19 22:00,106,108.81977
2011-03-01 13:00,78,94.074326
2012-12-01 05:00,13,14.717436
2012-09-06 03:00,9,9.852703
2012-04-10 23:00,62,62.825375
2012-07-31 18:00,857,827.60925
2012-05-09 01:00,14,16.41455
2012-05-31 05:00,33,34.621098
2011-06-04 14:00,451,429.27643
2012-04-17 05:00,30,26.68894
2012-11-15 07:00,410,395.12015
2012-06-02 06:00,36,34.69967
2011-01-01 03:00,13,9.306421
2012-01-29 15:00,310,300.777
2012-08-02 15:00,270,270.13898
2011-08-06 06:00,27,21.18396
2012-06-05 02:00,8,6.666373
2011-09-30 15:00,245,255.62741
2012-01-07 21:00,140,133.23907
2012-06-12 16:00,239,290.3336
2012-09-03 11:00,459,459.3365
2011-10-27 05:00,15,18.5644
2012-11-26 12:00,210,225.44719
2011-06-25 07:00,42,62.95464
2011-08-22 06:00,112,92.83187
2011-02-09 01:00,7,7.1402864
2012-03-13 02:00,1,-3.401829
2012-06-20 12:00,180,221.82933
2012-12-16 14:00,310,347.7278
2011-05-23 21:00,188,190.4849
2011-04-24 04:00,5,9.175005
2011-11-25 11:00,226,175.03543
2011-03-08 07:00,128,112.89389
2012-05-17 08:00,634,677.11145
2011-09-10 09:00,207,192.69742
2011-10-10 12:00,365,379.80484
2012-01-19 22:00,90,99.76356
2011-10-03 22:00,91,106.714424
2011-07-14 10:00,127,144.88098
2012-05-05 11:00,575,549.2329
2012-04-29 12:00,584,522.3949
2011-06-09 11:00,118,117.782555
2011-06-07 10:00,123,127.781334
2011-09-23 08:00,317,264.312
2011-05-12 09:00,212,205.71278
2012-08-21 10:00,178,206.95744
2011-07-19 12:00,153,162.08095
2012-04-26 19:00,464,430.297
2012-10-13 01:00,146,105.82487
2012-05-10 21:00,230,266.32016
2011-05-03 22:00,113,151.68379
2012-10-03 05:00,34,50.381836
2012-09-05 19:00,662,601.6519
2011-02-01 21:00,64,49.90634
2011-02-23 12:00,67,86.380905
2012-06-05 08:00,710,662.2711
2012-05-22 23:00,105,91.69482
2011-11-29 18:00,358,344.85446
2012-04-16 12:00,271,385.3087
2011-01-15 22:00,26,35.43728
2012-06-27 02:00,14,11.481578
2012-03-15 15:00,287,280.00607
2011-04-19 21:00,122,119.11701
2012-05-11 03:00,13,10.438186
2012-02-02 09:00,228,215.42023
2011-08-05 16:00,330,335.44604
2012-12-05 00:00,37,47.63335
2012-09-08 09:00,348,326.8383
2012-04-12 03:00,5,1.4337825
2011-12-01 13:00,154,162.05846
2011-05-07 05:00,7,14.140466
2011-02-11 16:00,125,106.84001
2012-05-10 17:00,732,763.3702
2011-10-30 22:00,71,67.10556
2011-04-15 18:00,263,249.7799
2011-10-04 18:00,524,516.409
2011-10-19 10:00,123,108.49131
2011-12-30 15:00,292,219.26492
2011-08-21 04:00,6,11.882237
2012-07-08 05:00,6,1.1017443
2011-09-19 19:00,374,358.06842
2011-03-30 06:00,48,48.107414
2011-05-06 23:00,120,120.25961
2012-04-04 02:00,5,4.6687293
2011-12-21 06:00,76,80.8323
2011-06-22 06:00,122,119.07817
2012-07-24 00:00,64,51.07642
2012-02-13 10:00,71,85.28442
2011-09-20 10:00,30,59.473446
2012-04-25 21:00,239,254.2874
2011-05-11 06:00,99,111.055626
2011-10-19 06:00,31,57.727962
2012-06-09 21:00,316,313.04694
2011-09-29 04:00,7,10.399216
2012-11-12 12:00,419,442.68555
2012-10-13 17:00,528,553.0947
2011-12-09 21:00,140,125.6745
2012-03-22 02:00,6,14.615779
2012-11-18 12:00,442,430.25174
2012-07-06 15:00,285,284.52185
2011-03-18 03:00,5,3.1551242
2012-10-25 23:00,135,151.48427
2011-04-08 03:00,1,7.9631305
2011-02-05 14:00,55,64.94012
2011-02-10 00:00,16,6.0896516
2011-04-30 09:00,156,190.08499
2012-07-26 08:00,729,675.50836
2011-02-25 17:00,189,188.63383
2011-08-24 20:00,334,296.77026
2011-01-03 00:00,5,11.319218
2012-11-27 20:00,232,220.8149
2012-05-24 02:00,16,13.106932
2011-09-20 15:00,192,173.37038
2012-05-08 09:00,295,306.36697
2012-06-08 04:00,10,10.9105215
2011-02-12 22:00,45,42.854206
2011-04-22 19:00,55,60.19394
2011-06-22 00:00,33,38.80233
2011-04-27 22:00,129,120.54181
2012-07-09 07:00,230,247.65239
2011-09-10 21:00,230,213.63242
2012-12-29 07:00,18,-14.65525
2012-04-27 20:00,289,272.35257
2011-02-08 03:00,1,-2.940632
2011-03-31 08:00,192,206.34723
2012-02-23 18:00,522,571.2932
2012-04-19 23:00,144,136.05626
2011-07-04 16:00,452,436.25552
2011-09-29 23:00,81,92.97052
2012-01-20 17:00,349,336.08786
2011-02-07 07:00,95,95.36176
2011-05-14 22:00,26,76.269005
2012-06-18 06:00,37,70.44367
2012-01-23 23:00,37,42.764145
2012-08-16 11:00,274,268.093
2011-07-18 02:00,10,9.8683815
2012-11-17 20:00,172,181.8418
2011-11-24 20:00,31,36.011246
2011-03-07 14:00,77,72.72534
2012-11-10 11:00,466,433.0918
2012-06-20 23:00,123,127.47857
2011-02-15 05:00,4,4.792327
2011-06-01 02:00,3,8.664013
2012-02-28 03:00,6,0.42778403
2011-04-07 21:00,108,117.41473
2011-10-04 12:00,199,187.09384
2011-02-11 07:00,74,82.25494
2012-12-17 21:00,120,153.48436
2011-10-14 15:00,230,247.20297
2011-08-02 07:00,335,314.9826
2011-09-20 02:00,5,9.122223
2012-07-07 08:00,152,175.36775
2012-04-12 06:00,96,99.110634
2012-05-01 08:00,557,556.7356
2011-11-02 22:00,106,98.759026
2011-07-23 22:00,125,144.67607
2011-03-23 17:00,273,252.03215
2011-03-03 12:00,72,73.993065
2011-08-30 12:00,237,223.28487
2012-03-04 12:00,327,316.3976
2012-09-15 12:00,706,696.33936
2011-12-01 15:00,154,163.14793
2012-02-23 07:00,326,311.599
2012-07-15 15:00,489,453.07755
2012-09-12 22:00,212,240.47029
2012-06-09 16:00,534,552.2185
2011-08-18 19:00,141,301.1289
2011-06-30 00:00,54,49.725307
2011-11-18 13:00,177,184.12056
2012-08-01 10:00,236,220.85507
2012-03-15 01:00,23,20.828417
2012-09-26 09:00,334,368.7996
2012-05-19 05:00,12,10.336122
2012-07-28 16:00,487,491.69617
2012-12-09 13:00,285,283.57245
2011-06-19 18:00,296,321.43542
2011-12-09 18:00,318,321.62988
2011-01-04 20:00,54,83.50714
2012-07-31 13:00,288,274.31952
2012-08-27 20:00,416,425.757
2011-04-11 13:00,139,134.04332
2012-03-25 04:00,8,8.488819
2011-12-27 12:00,24,44.359917
2011-01-24 11:00,46,33.557194
2012-02-13 09:00,205,199.6926
2011-06-24 15:00,216,232.24939
2011-06-08 08:00,481,441.8471
2011-08-17 01:00,14,14.916266
2011-08-26 16:00,343,320.55768
2012-10-05 23:00,171,175.49088
2012-03-27 14:00,184,215.95532
2012-11-13 15:00,217,238.94916
2012-03-22 13:00,298,289.2067
2012-06-04 12:00,282,294.94138
2011-05-12 13:00,218,193.63748
2012-06-06 14:00,302,289.57608
2011-07-04 23:00,138,127.03362
2011-09-30 04:00,8,12.494183
2011-11-01 16:00,298,289.79193
2011-08-29 14:00,182,190.04257
2012-10-11 13:00,291,324.82532
2011-12-23 19:00,76,111.43602
2012-01-04 08:00,315,363.9161
2011-03-31 11:00,58,56.247723
2012-10-05 07:00,428,447.1012
2012-02-03 19:00,267,243.61526
2012-04-05 07:00,354,355.11765
2012-05-24 15:00,291,268.55844
2011-09-30 10:00,168,156.30478
2012-03-01 07:00,304,330.89294
2011-06-13 09:00,224,201.74396
2011-08-28 10:00,142,156.30702
2011-01-09 11:00,49,51.49015
2012-06-16 17:00,593,586.082
2012-06-13 20:00,448,478.53812
2011-11-21 07:00,246,246.74951
2011-11-11 11:00,170,198.19518
2012-02-23 21:00,222,200.28047
2011-08-01 05:00,26,17.870338
2011-08-08 20:00,286,286.86087
2012-06-04 17:00,834,819.13416
2011-08-03 07:00,271,292.3518
2011-06-13 03:00,7,17.504948
2012-11-19 22:00,113,119.42436
2011-11-14 17:00,519,526.4957
2011-11-28 20:00,218,222.2036
2012-05-24 04:00,5,8.620614
2011-09-13 05:00,20,27.377426
2012-07-04 09:00,293,268.24973
2012-11-27 05:00,31,26.608332
2012-03-06 14:00,136,145.60944
2012-01-20 04:00,3,6.9781127
2012-07-10 06:00,187,170.69864
2011-07-19 06:00,134,118.83134
2012-12-06 03:00,2,10.82632
2011-01-05 08:00,195,213.17899
2012-04-04 00:00,41,37.678364
2012-12-19 14:00,218,223.13492
2012-09-12 14:00,278,316.47333
2012-05-21 06:00,79,60.78156
2011-10-17 06:00,114,100.55358
2012-07-05 06:00,133,171.72835
2011-02-19 11:00,123,121.24205
2011-04-08 15:00,25,44.390675
2011-07-07 07:00,292,300.2433
2011-03-19 08:00,48,67.18733
2012-04-27 06:00,120,114.36853
2011-09-20 00:00,25,35.76109
2011-12-05 15:00,148,174.19382
2012-07-02 10:00,174,180.21407
2012-09-13 18:00,852,850.78925
2011-05-04 04:00,3,-2.1423464
2012-05-23 23:00,106,126.4533
2011-12-01 04:00,1,5.7961507
2012-03-01 06:00,109,104.94563
2011-05-30 02:00,45,44.043396
2011-09-17 03:00,28,29.050444
2012-12-18 12:00,313,286.82715
2011-03-29 14:00,86,93.48727
2011-02-10 08:00,178,205.4469
2012-09-01 14:00,514,506.02017
2012-12-22 09:00,90,87.28953
2011-09-06 17:00,291,339.3942
2011-07-26 21:00,267,246.03467
2011-07-22 01:00,24,26.484707
2012-04-22 20:00,35,6.755758
2012-05-30 20:00,431,354.48727
2012-04-21 20:00,39,65.70965
2011-06-03 23:00,171,157.47269
2012-01-12 11:00,119,119.63325
2011-12-28 00:00,10,20.682285
2012-03-15 11:00,211,215.74875
2011-05-02 10:00,108,105.21682
2012-06-25 04:00,4,7.7140636
2011-12-25 16:00,86,135.4228
2012-06-01 12:00,310,291.635
2011-04-12 04:00,6,-6.7546926
2012-03-11 16:00,509,479.23602
2011-10-11 10:00,149,132.1417
2012-06-26 19:00,612,631.8856
2012-04-14 09:00,265,276.28864
2011-08-09 12:00,185,176.99866
2011-05-12 03:00,5,11.95978
2012-02-27 17:00,529,549.655
2011-05-06 22:00,151,134.81624
2012-02-23 02:00,9,16.913033
2011-09-04 20:00,229,231.42714
2011-07-07 16:00,265,243.9264
2012-06-24 14:00,551,520.11804
2012-02-06 07:00,234,223.73294
2011-11-23 09:00,167,174.53961
2011-10-10 14:00,370,371.92426
2011-04-16 18:00,38,80.85304
2012-02-23 01:00,15,14.164232
2011-03-11 21:00,53,60.851967
2012-09-06 08:00,646,600.3538
2011-05-20 21:00,195,189.4456
2011-07-05 01:00,39,19.178263
2011-09-09 09:00,136,111.03873
2012-12-28 22:00,62,61.92231
2012-12-17 15:00,211,214.12607
2011-05-28 04:00,4,11.449893
2012-09-11 00:00,32,47.752445
